"ipipe","ipipa","ipipc","ipipn","ipipo","bitter","salty","sour","spicey","sweet","filter_.","gender"
4.5,4.8,4.3,3.3,4.7,4.3,3.44444444444444,4.6,4.7,5,1,1
4.6,5,4.3,1.6,4,3.1,3.6,3.2,2.7,4.3,1,1
4.1,4.2,2.6,2.5,4.1,2.7,2.7,3.2,3.3,2.9,0,1
3.8,4.6,3,3.5,4.2,1.9,3,2.2,2.9,4.6,1,2
3,3.3,3.9,2.7,3.7,2.2,2.4,2.4,2.7,2.8,0,1
3.1,4.4,4.5,2.2,4.4,1.6,3.4,2.5,2.4,4.4,0,1
3.4,3.9,3.33333333333333,3,4.1,4.2,4.4,4.8,5.4,5.7,0,2
3.3,4,4,3.3,3.9,3.3,3.3,3,2.7,4.8,0,2
3,4,3.9,2.5,4.1,3.3,3,3.6,3.8,5.3,1,1
2.2,4.2,1.5,3.9,3.3,2.8,4,3.6,5,4.1,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.3,4,3.9,4,3.4,2.3,3.3,3.6,2.3,4.5,1,1
2.8,4.1,3.6,3.1,3.3,4.5,5.8,5.8,3.8,5.5,1,1
3.1,4,3.33333333333333,2,3.4,3.9,3.4,4.8,5.6,5.6,1,2
4.2,3.6,3.9,3.4,3,4.5,4.3,5.6,3.8,5.3,0,1
4.3,3.8,3.2,3.8,4.4,2.9,3.33333333333333,3,2.8,4.4,0,1
3.5,4.6,4.5,3.2,3.3,3.4,4,3.9,1.5,4.1,1,1
4.6,3.6,3.1,3,4.1,3.6,3.6,2.5,1.3,4.2,1,1
4.3,4.4,3.7,2.9,4.1,3.9,3.8,4.1,4.2,3.6,1,2
3.4,4,4,2.8,3.5,4.2,4,2.7,3.7,4.3,1,2
3.2,3.55555555555556,3.55555555555556,2.7,3.3,3.55555555555556,3.88888888888889,3.8,3,4,0,1
3.8,4.2,3,3.3,3.8,2.33333333333333,2.6,2.5,2.8,4.3,1,1
3.6,4.2,3.6,2.7,3,1.9,3.4,3.5,3.3,4.6,1,2
4.6,4.2,3,2.8,4.9,4,4.9,4.6,4.1,4.6,1,2
2.8,3.1,2.4,3.1,4.7,3.5,3.3,3.77777777777778,2.6,4,1,2
2.2,4.5,3.8,2.7,3,3.7,3.7,3.2,2.5,5.4,NA,NA
3.9,4.7,4.3,3.9,3.9,3,1.8,2.9,2.7,4.5,1,1
2.6,4.4,2.9,3.7,3,3.1,2.2,2.9,2.3,4.1,1,1
3.9,3.66666666666667,2.9,3,3.6,3.3,4,3.3,2.2,3.2,1,1
4.9,4.9,3.7,2.7,4,2.2,2.6,3.3,1,4,1,1
1.4,2.2,3.7,3.8,3.8,2.9,3.4,3.88888888888889,2.7,4.8,1,2
3,3.6,4.3,2.8,3.8,3.8,3.9,3.2,3,3.5,1,2
